claim_id,section,page,subsection,verbatim_text,category,weight,classification_rationale,boundary_case,required_elements_numeric,required_elements_deadline,required_elements_baseline,required_elements_scope,tactic_flags
MS_001,Climate,43,Climate Strategy,"Aiming to achieve net-zero financed emissions by 2050 with 2030 interim sector targets for our most carbon-intensive sectors in our corporate lending portfolio (compared to the 2019 base year)",QuantitativeTarget,1.2,"Contains specific deadline (2050), baseline year (2019), numeric target (net-zero), and scope (financed emissions in corporate lending)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_002,Climate,45,Climate Ambitions,"We remain focused on making progress toward our 2030 financed emissions targets by contributing to real-economy decarbonization efforts",VagueTarget,-0.8,"Uses vague qualifier 'making progress toward' without specific numeric reduction target or absolute values. Deadline present but lacks quantification",FALSE,FALSE,TRUE,FALSE,FALSE,""
MS_003,Climate,45,Financed Emissions,"We aim to reduce our financed emissions by providing our clients with the advice and capital required to transform business models and reduce their own carbon intensity",VagueTarget,-0.8,"Uses hedging verb 'aim to' and lacks specific numeric target, deadline, or baseline. No quantitative commitment",FALSE,FALSE,FALSE,FALSE,FALSE,""
MS_004,Sustainable Finance,8,Target Progress,"Across our businesses we continue to make progress toward mobilizing $1 trillion in sustainable finance by 2030",QuantitativeTarget,1.2,"Contains specific numeric target ($1 trillion), clear deadline (2030), and measurable scope (sustainable finance). Baseline is implicit (from target inception)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_005,Sustainable Finance,7,2023 Highlights,"$820Bn+ in capital mobilized toward our goal of $1Tn by 2030, including $640Bn+ in low-carbon and green solutions",VerifiedClaim,1.2,"Retrospective performance claim with specific numeric outcome ($820B mobilized, $640B in low-carbon), clear scope, and context against $1T goal. Contains absolute values",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_006,Sustainable Finance,11,ESG Debt,"$97Bn+ ESG-labeled debt transactions in 2023",VerifiedClaim,1.2,"Retrospective claim with specific numeric outcome ($97B), defined time period (2023), and clear scope (ESG-labeled debt)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_007,Climate,47,Operations,"Maintained carbon neutral status and 100% renewable electricity throughout 2023",VerifiedClaim,1.2,"Retrospective performance claim with specific outcome (carbon neutral, 100% renewable), clear timeframe (2023), and defined scope (operations)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_008,Climate,45,Climate Transition,"We are committed to engaging with clients on climate transition strategies to help move the world to net-zero emissions by 2050",VagueTarget,-0.8,"Generic commitment language without firm-specific targets or actions. No quantification of engagement metrics or measurable outcomes",FALSE,FALSE,TRUE,FALSE,FALSE,""
MS_009,Climate,46,CSAF Results,"Approximately 80% of our total committed financing to these sectors is tied to companies that we consider to have a medium or high-quality transition plan in place",VerifiedClaim,1.2,"Retrospective assessment with specific percentage (80%), defined scope (committed financing to interim target sectors), and clear baseline context",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_010,Climate,46,Client Targets,"More than half of our clients across these three sectors have long-term operational (scopes 1 and 2) targets to reach net-zero by 2050",VerifiedClaim,1.2,"Specific quantitative finding (>50%), defined scope (three interim target sectors, Scopes 1&2), clear timeframe context (net-zero by 2050)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_011,Climate,46,Power Sector,"Over 60% of our Power clients have explicit targets to increase renewable generation capacity and/or phase down (or eliminate) coal-fired generation capacity",VerifiedClaim,1.2,"Specific percentage (60%), defined client segment (Power), specific actions (increase renewables/phase down coal)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_012,Climate,46,Auto Manufacturing,"All of our Automobile Manufacturing clients have plans to increase production of electric vehicles (EVs), with many targeting to have >50% of global sales from EVs by 2030 or sooner",VerifiedClaim,1.2,"Specific quantification (all clients, >50% of sales), clear deadline (2030), defined sector (Auto Manufacturing)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_013,Sustainable Finance,13,Renewable Energy,"In 2023, the Commodities team structured hedging transactions and offtake agreements involving more than 5.7 million MWhs of renewable energy",VerifiedClaim,1.2,"Retrospective claim with specific volume (5.7M MWhs), clear timeframe (2023), defined scope (renewable energy from wind/solar/hydro)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_014,Climate,44,Guiding Principles,"Morgan Stanley will focus on working with our clients across sectors as they develop decarbonization plans that seek to reduce their own emissions",VagueTarget,-0.8,"General statement of intention without specific targets, metrics, or measurable outcomes. Uses hedging language 'seek to'",FALSE,FALSE,FALSE,FALSE,FALSE,""
MS_015,Climate,44,Support Clients,"As a global leader in financial services, we will continue to develop and distribute innovative products and solutions that serve our clients and help them achieve their climate-related ambitions",NonClaim,0,"Generic values statement without specific actions, metrics, or commitments. Pure aspirational language",FALSE,FALSE,FALSE,FALSE,FALSE,""
MS_016,Sustainable Finance,20,MSIM Sustainability,"Over $50 billion of our AUM has at least one of the following sustainability features promoted: 1) impact objective(s); 2) sustainability theme objectives; 3) tilts based on sustainability factors; and/or 4) low carbon or net-zero commitments",VerifiedClaim,1.2,"Specific AUM figure ($50B), clear scope (sustainability features), defined categories. Retrospective performance claim",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_017,Sustainable Finance,15,Wealth Management,"~$77Bn in client assets invested on the IIP across 360+ investment products",VerifiedClaim,1.2,"Specific asset value ($77B), quantified products (360+), clear scope (Investing with Impact Platform)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_018,Sustainable Finance,15,IIP Reach,">336,000 clients served by the IIP",VerifiedClaim,1.2,"Specific client count (>336K), defined platform (IIP), clear scope",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_019,Sustainable Finance,24,Community Development,"We made over $3 billion in Community Reinvestment Act (CRA) qualified community development loans and investments in 2023",VerifiedClaim,1.2,"Specific amount ($3B), defined timeframe (2023), clear scope (CRA-qualified community development)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_020,Human Capital,28,Workforce,"40% of our global employees are women",VerifiedClaim,1.2,"Specific percentage (40%), clear scope (global employees), social metric",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_021,Human Capital,28,US Diversity,"8% of our U.S. employees are Asian, 9% are Black, 15% are Hispanic",VerifiedClaim,1.2,"Specific percentages for three demographic groups, clear scope (U.S. employees), complete breakdown",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_022,Climate,50,Climate Risk,"Morgan Stanley incorporates climate-related risks into the firm's risk management and governance processes",PeripheralClaim,0.3,"Governance process claim without specific performance metrics or measurable outcomes. Valid but non-material to actual climate impact",FALSE,FALSE,FALSE,FALSE,FALSE,""
MS_023,Climate,60,ESG Governance,"The Board of Directors has overall oversight of sustainability matters, with regular updates provided to the Board's Governance and Sustainability Committee",PeripheralClaim,0.3,"Board oversight statement - governance structure without performance outcomes. Process-focused",FALSE,FALSE,FALSE,FALSE,FALSE,""
MS_024,Sustainable Finance,9,Framework Maintenance,"Progress toward our 2030 $1 trillion sustainable finance target and $750 billion low-carbon and green subset is guided by our Sustainable Finance Framework",PeripheralClaim,0.3,"Framework/governance statement without specific performance metrics for the framework itself. Supporting infrastructure",FALSE,FALSE,FALSE,FALSE,FALSE,""
MS_025,Human Capital,29,Campus Recruiting,"In 2023, over 1,700 undergraduate students joined the firm as summer analysts",VerifiedClaim,1.2,"Specific count (1,700 students), clear timeframe (2023), defined program (summer analysts)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_026,Human Capital,29,University Diversity,"Our 2023 full-time campus hires hailed from over 460 colleges and universities in over 22 countries",VerifiedClaim,1.2,"Specific counts (460 colleges, 22 countries), clear timeframe (2023), quantified diversity metric",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_027,Human Capital,38,Global Volunteer,"In 2023, over 60,000 employees, nearly 75% of our firm, in 34 countries devoted over 295,000 hours to local organizations",VerifiedClaim,1.2,"Multiple specific metrics (60K employees, 75%, 34 countries, 295K hours), clear timeframe (2023)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_028,Human Capital,38,Philanthropy,"In 2023, our firm, foundations and employees together donated more than $160 million to nonprofit organizations around the world",VerifiedClaim,1.2,"Specific amount ($160M), clear timeframe (2023), defined scope (firm, foundations, employees)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_029,Human Capital,41,EECC Impact,"In 2023, the EECC marked its second year and continued to expand programming for students and employees, helping to contribute to stronger outcomes for an estimated 32,000 students through over 700 volunteer hours from employees",VerifiedClaim,1.2,"Specific metrics (32K students, 700+ hours), clear timeframe (2023), quantified impact",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_030,Human Capital,30,Mental Health Access,"U.S. employees and dependents each receive 16 annual sessions with mental health coaches and therapists, at no cost",VerifiedClaim,1.2,"Specific benefit quantity (16 sessions), clear scope (US employees & dependents), zero cost specified",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_031,Sustainable Finance,26,Inclusive Ventures,"To date, 92 companies have gone through the program, reaching more than $1 billion in combined valuation and raising over $200 million in funding after participating in the Lab",VerifiedClaim,1.2,"Specific counts (92 companies), specific values ($1B valuation, $200M funding), cumulative retrospective claim",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_032,Human Capital,34,Women Officers,"Officers: 28% in 2022, 29% in 2023",VerifiedClaim,1.2,"Specific percentages with year-over-year comparison, clear baseline (2022), defined category (Officers)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_033,Human Capital,34,Campus Women,"Full-time campus hires: 47% women in 2022, 48% in 2023",VerifiedClaim,1.2,"Specific percentages with YoY comparison, clear baseline and scope",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_034,Climate,45,Real-World Impact,"In some cases, lending to companies that are transitioning may, for a period of time, result in an increase in our financed emissions. However, we believe that this approach will ultimately facilitate the transition to a lower-carbon world",VagueTarget,-0.8,"Acknowledges potential emissions increase but lacks specific thresholds, timeframes, or measurable criteria for 'transition.' Hedging language 'we believe'",TRUE,FALSE,FALSE,FALSE,FALSE,""
MS_035,Climate,46,Energy Clients,"Approximately half of our Energy clients have explicit targets related to operational emissions reductions",AmbiguousBaseline,-0.8,"Contains percentage (~50%) but lacks baseline year, specific emission reduction amounts, or clarity on what qualifies as 'explicit targets'",FALSE,TRUE,FALSE,FALSE,FALSE,""
MS_036,Sustainable Finance,21,1GT Platform,"1GT is a climate private equity platform focused on investments in private growth-stage companies that seek to collectively avoid or remove one gigaton of carbon dioxide-equivalent emissions from the Earth's atmosphere from the date of investment through 2050",QuantitativeTarget,1.2,"Specific target (1 gigaton CO2e), clear deadline (2050), defined scope (portfolio companies), measurable from investment date baseline",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_037,Sustainable Finance,21,Impact Contribution,"In March 2023, we made an inaugural contribution of $250,000 to OFN's Finance Justice Fund to support affordable housing",VerifiedClaim,1.2,"Specific amount ($250K), exact timeframe (March 2023), clear recipient and purpose",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_038,Human Capital,36,UK Gender Pay Gap,"Since we first reported in 2017, we have narrowed our median pay gap from 35% to 27%",VerifiedClaim,1.2,"Specific starting point (35% in 2017), ending point (27%), clear metric (median gender pay gap), defined geography (UK)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_039,Human Capital,36,UK Representation,"Progress is measured against our representation objectives: increase senior management representation for women to 35%, U.K. ethnically diverse officers to 30%, and U.K. Black officers by 40%",QuantitativeTarget,1.2,"Multiple specific numeric targets (35%, 30%, 40% increase), defined categories, clear scope (UK senior management). Missing deadline",TRUE,TRUE,FALSE,TRUE,TRUE,""
MS_040,Climate,44,Transparency,"Morgan Stanley will continue to be transparent in communicating our climate change strategy and progress toward our climate ambitions to clients, shareholders and other stakeholders",NonClaim,0,"Generic values statement about transparency without specific disclosure commitments, metrics, or actions",FALSE,FALSE,FALSE,FALSE,FALSE,""
MS_041,Sustainable Finance,5,Climate Mobilization,"Consistent with this standard, Morgan Stanley has mobilized over $820 billion for sustainable solutions since 2018, putting us on track to meet our target of $1 trillion by 2030",QuantitativeTarget,1.2,"Specific baseline ($820B since 2018), clear target ($1T by 2030), defined scope (sustainable solutions). Progress metric with target",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_042,Sustainable Finance,6,ESG Framework,"The climate section is informed by the recommendations of the Task Force on Climate-Related Financial Disclosures (TCFD)",PeripheralClaim,0.3,"Framework alignment claim - governance/process without performance outcomes",FALSE,FALSE,FALSE,FALSE,FALSE,""
MS_043,Sustainable Finance,22,Stewardship,"In 2023, MSIM added Natural Capital and Biodiversity as our fifth engagement theme",PeripheralClaim,0.3,"Addition of engagement theme - governance expansion without measurable engagement outcomes or impact metrics",FALSE,FALSE,TRUE,FALSE,FALSE,""
MS_044,Human Capital,40,IFI Mission,"The IFI brings our employees, communities and clients together in a shared commitment to creating a more equitable society",NonClaim,0,"Mission statement without specific actions, metrics, or verifiable commitments",FALSE,FALSE,FALSE,FALSE,FALSE,""
MS_045,Climate,47,Renewable Energy,"100% renewable electricity throughout 2023",VerifiedClaim,1.2,"Specific percentage (100%), clear timeframe (2023), defined scope (electricity in operations)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_046,Human Capital,34,Black Officers,"U.S. Black Officers: 4% in both 2022 and 2023",VerifiedClaim,1.2,"Specific percentage (4%), two-year comparison, clear scope (US Black Officers)",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_047,Climate,54,Financed Emissions Methodology,"Our financed emissions targets are premised on the global economy limiting warming to 1.5Â°C above preindustrial levels",PeripheralClaim,0.3,"Methodological context - important assumption but not a performance claim",FALSE,FALSE,FALSE,FALSE,FALSE,""
MS_048,Sustainable Finance,13,D&I Coordinator,"Morgan Stanley has acted as D&I coordinator for 48 transactions totaling more than $170 billion in investment-grade debt offerings since 2021",VerifiedClaim,1.2,"Specific count (48 transactions), amount ($170B), clear baseline (since 2021), defined role",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_049,Human Capital,42,UK Scholarships,"The Future Generation Scholarship supports up to 25 students annually from socially mobile backgrounds in the United Kingdom",VerifiedClaim,1.2,"Specific quantity (25 students), clear frequency (annually), defined geography and target population",FALSE,TRUE,TRUE,TRUE,TRUE,""
MS_050,Climate,45,Target Achievement,"Without sufficient change in the aforementioned factors in the coming years, our clients, and our firm, may not meet net-zero aligned targets",VagueTarget,-0.8,"Conditional/hedging language ('may not meet'), lacks specific thresholds or timeframes for assessment. Acknowledges uncertainty without mitigation plan",FALSE,FALSE,FALSE,FALSE,FALSE,ScopeOmission
